   706.352 0.139E-220.120   502.194      V21   GROUND    30 1     12   0.50 221 28
   706.425 0.160E-220.120   488.513      V21   GROUND    23 2      1   0.50 221 28
   706.425 0.160E-220.120   488.513      V21   GROUND    23 2      2   0.50 221 28
   706.507 0.958E-230.120   573.424      V21   GROUND    39 1     24   0.50 221 28
   706.507 0.958E-230.120   573.424      V21   GROUND    39 1     25   0.50 221 28
   706.528 0.131E-220.120   509.532      V21   GROUND    32 1     14   0.50 221 28
   706.528 0.131E-220.120   509.532      V21   GROUND    32 1     15   0.50 221 28
   706.587 0.158E-220.120   484.254      V21   GROUND    25 2      4   0.50 221 28
   706.587 0.158E-220.120   484.254      V21   GROUND    25 2      5   0.50 221 28
   706.597 0.605E-230.120   676.360      V21   GROUND    46 1     34   0.50 221 28
   706.597 0.605E-230.120   676.360      V21   GROUND    46 1     35   0.50 221 28
   706.709 0.123E-220.120   520.393      V21   GROUND    34 1     17   0.50 221 28
   706.709 0.123E-220.120   520.393      V21   GROUND    34 1     18   0.50 221 28
   706.711 0.861E-230.120   595.983      V21   GROUND    41 1     27   0.50 221 28
   706.711 0.861E-230.120   595.983      V21   GROUND    41 1     28   0.50 221 28
   706.754 0.154E-220.120   483.504      V21   GROUND    27 2      7   0.50 221 28
   706.754 0.154E-220.120   483.504      V21   GROUND    27 2      8   0.50 221 28
   706.897 0.114E-220.120   534.784      V21   GROUND    36 1     20   0.50 221 28
   706.897 0.114E-220.120   534.784      V21   GROUND    36 1     21   0.50 221 28
   706.900 0.521E-230.120   710.914      V21   GROUND    48 1     38   0.50 221 28
   706.904 0.521E-230.120   710.914      V21   GROUND    48 1     37   0.50 221 28
   706.928 0.148E-220.120   486.265      V21   GROUND    29 1     10   0.50 221 28
   706.928 0.148E-220.120   486.265      V21   GROUND    29 1     11   0.50 221 28
   706.932 0.760E-230.120   622.130      V21   GROUND    43 1     30   0.50 221 28
   706.932 0.760E-230.120   622.130      V21   GROUND    43 1     31   0.50 221 28
   706.991 0.170E-220.120   476.293      V21   GROUND    22 2      0   0.50 221 28
   706.991 0.170E-220.120   476.293      V21   GROUND    22 2      1   0.50 221 28
   707.092 0.104E-220.120   552.718      V21   GROUND    38 1     23   0.50 221 28
