                                HAZE                                                        HCN 
  150.60 0.2519E+01   154.51  0.9362E-03  0.9260E-03  0.9465E-03  0.9273E-03  0.9453E-03  0.3685E-06  0.3199E-06  0.4244E-06  0.3649E-06  0.3720E-06
  145.70 0.2865E+01   153.16  0.1040E-02  0.1029E-02  0.1051E-02  0.1030E-02  0.1050E-02  0.3023E-06  0.2624E-06  0.3482E-06  0.2994E-06  0.3052E-06
  140.85 0.3259E+01   151.59  0.1167E-02  0.1154E-02  0.1180E-02  0.1155E-02  0.1179E-02  0.2425E-06  0.2105E-06  0.2793E-06  0.2400E-06  0.2450E-06
  136.08 0.3706E+01   149.81  0.1285E-02  0.1270E-02  0.1301E-02  0.1270E-02  0.1300E-02  0.1919E-06  0.1666E-06  0.2211E-06  0.1897E-06  0.1941E-06
  131.39 0.4215E+01   147.64  0.1350E-02  0.1331E-02  0.1369E-02  0.1333E-02  0.1367E-02  0.1520E-06  0.1320E-06  0.1751E-06  0.1501E-06  0.1540E-06
  126.78 0.4793E+01   145.84  0.1332E-02  0.1311E-02  0.1354E-02  0.1314E-02  0.1350E-02  0.1220E-06  0.1059E-06  0.1405E-06  0.1203E-06  0.1236E-06
  122.23 0.5451E+01   144.15  0.1240E-02  0.1218E-02  0.1262E-02  0.1223E-02  0.1257E-02  0.1005E-06  0.8723E-07  0.1157E-06  0.9911E-07  0.1019E-06
  117.76 0.6199E+01   142.34  0.1116E-02  0.1096E-02  0.1137E-02  0.1101E-02  0.1131E-02  0.8612E-07  0.7476E-07  0.9920E-07  0.8497E-07  0.8728E-07
  113.36 0.7050E+01   140.53  0.1008E-02  0.9908E-03  0.1025E-02  0.9947E-03  0.1021E-02  0.7469E-07  0.6484E-07  0.8604E-07  0.7372E-07  0.7567E-07
  109.02 0.8018E+01   138.80  0.9483E-03  0.9336E-03  0.9632E-03  0.9351E-03  0.9616E-03  0.6566E-07  0.5700E-07  0.7564E-07  0.6475E-07  0.6659E-07
  104.75 0.9118E+01   137.78  0.9555E-03  0.9390E-03  0.9724E-03  0.9394E-03  0.9720E-03  0.5838E-07  0.5068E-07  0.6725E-07  0.5740E-07  0.5938E-07
  102.31 0.9816E+01   137.22  0.9942E-03  0.9731E-03  0.1016E-02  0.9749E-03  0.1014E-02  0.5478E-07  0.4756E-07  0.6311E-07  0.5372E-07  0.5587E-07
